Date,Open,High,Low,Close,Volume
08/06/2021,"6.66","6.85","6.52","6.79","1,505,196"
08/05/2021,"6.72","6.80","6.40","6.59","3,161,391"
08/04/2021,"6.84","7.04","6.66","6.78","2,286,793"
08/03/2021,"6.92","7.01","6.77","6.81","943,471"
08/02/2021,"6.76","7.08","6.60","7.05","862,436"
07/30/2021,"6.33","6.76","6.26","6.74","2,445,865"
07/29/2021,"7.05","7.25","6.72","6.74","2,222,418"
07/28/2021,"6.42","7.17","6.41","6.96","3,933,639"
07/27/2021,"6.00","6.37","6.00","6.21","3,800,698"
07/26/2021,"5.84","6.80","5.83","6.25","5,737,938"
07/23/2021,"6.42","6.42","5.98","6.21","8,019,423"
07/22/2021,"7.48","7.51","7.07","7.16","1,819,877"
07/21/2021,"7.37","7.60","7.21","7.46","1,924,858"
07/20/2021,"7.16","7.36","7.13","7.31","2,204,595"
07/19/2021,"7.62","7.62","7.13","7.22","2,477,277"
07/16/2021,"8.10","8.16","7.62","7.75","2,162,534"
07/15/2021,"8.25","8.36","8.00","8.11","785,503"
07/14/2021,"8.92","8.92","8.00","8.14","1,941,884"
07/13/2021,"8.74","9.31","8.72","8.94","1,194,018"
07/12/2021,"8.78","8.98","8.47","8.72","1,350,502"
07/09/2021,"8.73","8.79","8.36","8.78","1,821,135"
07/08/2021,"8.10","8.67","7.92","8.66","2,176,713"
07/07/2021,"8.84","8.84","8.30","8.35","1,545,708"
